automobile_id,car_model,engine_name,brand_name,length_mm,width_mm,height_mm,kg,search_text,rank
698,BMW X4 M (F98) 2021-Present,M Competition 3.0L xDrive 8AT AWD (510 HP),BMW,4755.0,1928.0,1621.0,2085.0,BMW X4 M (F98) 2021-Present M Competition 3.0L xDrive 8AT AWD (510 HP),2
699,2022 BMW 4 Series Gran Coupe,M440i xDrive 48V 8AT (374 HP),BMW,4783.0,1852.0,1443.0,1900.0,2022 BMW 4 Series Gran Coupe M440i xDrive 48V 8AT (374 HP),2
700,BMW 2 Series Coupe (G42) 2021-Present,M240i xDrive 8AT AWD (374 HP),BMW,4557.0,1839.0,1405.0,1765.0,BMW 2 Series Coupe (G42) 2021-Present M240i xDrive 8AT AWD (374 HP),2
701,BMW 2 Series Active Tourer 2021-Present,218d 7AT (150 HP),BMW,4387.0,1824.0,1575.0,1620.0,BMW 2 Series Active Tourer 2021-Present 218d 7AT (150 HP),2
702,2021 BMW 5 Series,M550i xDrive 8AT AWD (530 HP),BMW,4963.0,1867.0,1496.0,1990.0,2021 BMW 5 Series M550i xDrive 8AT AWD (530 HP),2
703,2021 BMW 5-Series Touring,530d xDrive 8AT AWD (286 HP),BMW,4963.0,1867.0,1499.0,2000.0,2021 BMW 5-Series Touring 530d xDrive 8AT AWD (286 HP),2
704,BMW 6 Series Gran Turismo (G32 LCI) 2020-Present,640d xDrive 8AT AWD (340 HP),BMW,5090.0,1902.0,1539.0,2085.0,BMW 6 Series Gran Turismo (G32 LCI) 2020-Present 640d xDrive 8AT AWD (340 HP),2
705,2021 BMW 4-Series Coupe,M 440i xDrive 8AT AWD (374 HP),BMW,4768.0,1852.0,1382.0,1815.0,2021 BMW 4-Series Coupe M 440i xDrive 8AT AWD (374 HP),2
706,2020 BMW M5 Competition,4.4L V8 8AT (625 HP),BMW,4983.0,1902.0,1468.0,1970.0,2020 BMW M5 Competition 4.4L V8 8AT (625 HP),2
707,BMW iX3 (G08) 2020-Present,80 KWh (286 HP),BMW,4735.0,1890.0,1669.0,2260.0,BMW iX3 (G08) 2020-Present 80 KWh (286 HP),2
708,BMW M4 Coupe,Competition 3.0L 8AT (510 HP),BMW,4793.0,1887.0,1392.0,1800.0,BMW M4 Coupe Competition 3.0L 8AT (510 HP),2
709,2021 BMW M3 Sedan,Competition 3.0L 8AT (510 HP),BMW,4793.0,1902.0,1433.0,1805.0,2021 BMW M3 Sedan Competition 3.0L 8AT (510 HP),2
710,2021 BMW 4-Series Convertible,M440i xDrive 8AT AWD (374 HP),BMW,4770.0,1852.0,1394.0,1965.0,2021 BMW 4-Series Convertible M440i xDrive 8AT AWD (374 HP),2
711,BMW 7 Series (G11) LCI 2019-2022,M760Li xDrive 8AT AWD (585 HP),BMW,5260.0,1902.0,1478.0,2220.0,BMW 7 Series (G11) LCI 2019-2022 M760Li xDrive 8AT AWD (585 HP),2
712,2019 BMW X3 M,xDrive30e 8AT AWD (292 HP),BMW,4709.0,1890.0,1676.0,1990.0,2019 BMW X3 M xDrive30e 8AT AWD (292 HP),2
713,BMW X4 M (F98) 2019-Present,3.0L 8AT AWD (480 HP),BMW,4757.0,1928.0,1618.0,1970.0,BMW X4 M (F98) 2019-Present 3.0L 8AT AWD (480 HP),2
714,2020 BMW 1-Series,M135i xDrive 8AT AWD (306 HP),BMW,4318.0,1798.0,1435.0,1600.0,2020 BMW 1-Series M135i xDrive 8AT AWD (306 HP),2
715,BMW X1 2019-2022,xDrive 25e 6AT AWD (125 HP),BMW,4448.0,1821.0,1598.0,1745.0,BMW X1 2019-2022 xDrive 25e 6AT AWD (125 HP),2
716,2019 BMW M8,4.4L V8 TwinTurbo 8AT AWD (600 HP),BMW,4867.0,1908.0,1361.0,1960.0,2019 BMW M8 4.4L V8 TwinTurbo 8AT AWD (600 HP),2
717,2019 BMW M8 Convertible,4.4L V8 TwinTurbo 8AT AWD (600 HP),BMW,4867.0,1908.0,1354.0,2085.0,2019 BMW M8 Convertible 4.4L V8 TwinTurbo 8AT AWD (600 HP),2
718,2019 BMW 3 Series Touring (G21),M340d xDrive AWD (340 HP),BMW,4709.0,1826.0,1445.0,1955.0,2019 BMW 3 Series Touring (G21) M340d xDrive AWD (340 HP),2
719,2020 BMW 8 Series Gran Coupe,M850i xDrive V8  8AT AWD (530 HP),BMW,5083.0,1933.0,1407.0,2070.0,2020 BMW 8 Series Gran Coupe M850i xDrive V8  8AT AWD (530 HP),2
720,2020 BMW X6,M50d 8AT AWD (400 HP),BMW,4935.0,2004.0,1697.0,2335.0,2020 BMW X6 M50d 8AT AWD (400 HP),2
721,2020 BMW 2-Series Gran Coupe,M235i xDrive 8AT AWD (306 HP),BMW,4526.0,1801.0,1420.0,1645.0,2020 BMW 2-Series Gran Coupe M235i xDrive 8AT AWD (306 HP),2
722,2019 BMW M2 CS,3.0L 7AT (450 HP),BMW,4460.0,1872.0,1415.0,1650.0,2019 BMW M2 CS 3.0L 7AT (450 HP),2
723,2020 BMW X5 M,4.4L V8 8AT AWD (600 HP) ,BMW,4938.0,2014.0,1748.0,2310.0,2020 BMW X5 M 4.4L V8 8AT AWD (600 HP),2
724,2020 BMW X6 M,4.4L V8 8AT AWD (600 HP),BMW,4940.0,2019.0,1692.0,2295.0,2020 BMW X6 M 4.4L V8 8AT AWD (600 HP),2
725,2019,xDrive 25e 6AT AWD (220 HP),BMW,4361.0,1824.0,1511.0,1805.0,2019 xDrive 25e 6AT AWD (220 HP),2
726,BMW i8 (I12) 2018-2020,1.5L 6AT (374 HP),BMW,4689.0,1943.0,1293.0,1610.0,BMW i8 (I12) 2018-2020 1.5L 6AT (374 HP),2
727,BMW i8 Roadster (I15) 2018-2020,1.5L 6AT (374 HP),BMW,4689.0,1943.0,1290.0,1670.0,BMW i8 Roadster (I15) 2018-2020 1.5L 6AT (374 HP),2
728,BMW 2 Series Active Tourer (F45) 2018-2021,225xe 6AT AWD (224 HP),BMW,4354.0,1801.0,1554.0,1735.0,BMW 2 Series Active Tourer (F45) 2018-2021 225xe 6AT AWD (224 HP),2
729,BMW 2 Series Gran Tourer (F46) 2018-Present,220d xDrive 8AT (190 HP),BMW,4567.0,1801.0,1608.0,1690.0,BMW 2 Series Gran Tourer (F46) 2018-Present 220d xDrive 8AT (190 HP),2
730,BMW X4 2018-2021,M40d xDrive 8AT AWD (326 HP),BMW,4752.0,1918.0,1621.0,2020.0,BMW X4 2018-2021 M40d xDrive 8AT AWD (326 HP),2
731,BMW 4 Series Cabrio (F33) 2018-2020,440i xDrive 8AT AWD (326 HP),BMW,4641.0,1826.0,1400.0,1850.0,BMW 4 Series Cabrio (F33) 2018-2020 440i xDrive 8AT AWD (326 HP),2
732,BMW 4 Series Gran Coupe (F36) 2018-2021,420i xDrive 8AT AWD (184 HP),BMW,4641.0,1826.0,1389.0,1690.0,BMW 4 Series Gran Coupe (F36) 2018-2021 420i xDrive 8AT AWD (184 HP),2
733,BMW 4 Series Coupe (F32) 2018-2020,440i 8AT AWD (326 HP),BMW,4641.0,1826.0,1377.0,1630.0,BMW 4 Series Coupe (F32) 2018-2020 440i 8AT AWD (326 HP),2
734,BMW M2 Competition 2018-Present,3.0L 7AT (410 HP),BMW,4460.0,1854.0,1410.0,1650.0,BMW M2 Competition 2018-Present 3.0L 7AT (410 HP),2
735,2018 BMW M5 Competition,4.4L V8 8AT (625 HP),BMW,4966.0,1902.0,1468.0,1865.0,2018 BMW M5 Competition 4.4L V8 8AT (625 HP),2
736,2019 BMW X5,M50d 8AT 7 Seats RWD (400 HP),BMW,4923.0,2004.0,1745.0,2350.0,2019 BMW X5 M50d 8AT 7 Seats RWD (400 HP),2
737,BMW 8 Series Coupe (G15) 2018-2022,M850i xDrive 8AT AWD (530 HP),BMW,4851.0,1902.0,1346.0,1965.0,BMW 8 Series Coupe (G15) 2018-2022 M850i xDrive 8AT AWD (530 HP),2
738,2019 BMW Z4,sDrive20i  8AT RWD (197 HP),BMW,4323.0,1864.0,1303.0,1480.0,2019 BMW Z4 sDrive20i  8AT RWD (197 HP),1
739,BMW 3 Series Sedan (G20),M340i xDrive 8AT AWD (374 HP),BMW,4709.0,1826.0,1443.0,1745.0,BMW 3 Series Sedan (G20) M340i xDrive 8AT AWD (374 HP),2
740,BMW X7 (G07) 2018-2022,40d MHEV xDrive 8AT AWD (340 HP),BMW,5151.0,1999.0,1806.0,2470.0,BMW X7 (G07) 2018-2022 40d MHEV xDrive 8AT AWD (340 HP),2
741,BMW 8 Series Convertible (G14) 2018-2022,M850i xDrive 8AT AWD (530 HP),BMW,4851.0,1902.0,1346.0,2015.0,BMW 8 Series Convertible (G14) 2018-2022 M850i xDrive 8AT AWD (530 HP),2
742,2017 BMW 5 Series Touring,530d xDrive 8AT AWD (265 HP),BMW,4943.0,1867.0,1499.0,1875.0,2017 BMW 5 Series Touring 530d xDrive 8AT AWD (265 HP),2
743,2017 BMW 1 Series Sedan (F52),125i 8AT RWD (231 HP),BMW,4455.0,1803.0,1445.0,1478.0,2017 BMW 1 Series Sedan (F52) 125i 8AT RWD (231 HP),1
744,2018 BMW M4 CS,3.0L 7AT RWD (460 HP),BMW,4671.0,1869.0,1389.0,1580.0,2018 BMW M4 CS 3.0L 7AT RWD (460 HP),1
745,2017 BMW 2 Series,M240i 8AT RWD (340 HP),BMW,4432.0,1773.0,1417.0,1565.0,2017 BMW 2 Series M240i 8AT RWD (340 HP),1
746,BMW 2 Series Convertible (F23) LCI 2017-Present,M240i xDrive 8AT AWD (340 HP),BMW,4432.0,1773.0,1412.0,1760.0,BMW 2 Series Convertible (F23) LCI 2017-Present M240i xDrive 8AT AWD (340 HP),2
747,2017 BMW 1 Series 5 doors (F20) LCI,M140i xDrive 8AT AWD (340 HP),BMW,4328.0,1765.0,1420.0,1615.0,2017 BMW 1 Series 5 doors (F20) LCI M140i xDrive 8AT AWD (340 HP),2
748,2017 BMW 1 Series 3 doors (F21) LCI,M140i xDrive 8AT AWD (340 HP),BMW,4328.0,1765.0,1420.0,1615.0,2017 BMW 1 Series 3 doors (F21) LCI M140i xDrive 8AT AWD (340 HP),2
749,2017 BMW 6 Series GT,640d xDrive 8AT AWD (320 HP),BMW,5090.0,1902.0,1539.0,2010.0,2017 BMW 6 Series GT 640d xDrive 8AT AWD (320 HP),2
750,BMW X3 (G01) 2017-2021,xDrive30d 8AT AWD (265 HP),BMW,4709.0,1890.0,1676.0,1895.0,BMW X3 (G01) 2017-2021 xDrive30d 8AT AWD (265 HP),2
751,2017 BMW M5,4.4L V8 8AT xDrive AWD (600 HP),BMW,4966.0,1902.0,1473.0,1855.0,2017 BMW M5 4.4L V8 8AT xDrive AWD (600 HP),2
752,BMW i3 2017-Present,27 kWh with range extender (170 HP),BMW,4011.0,1775.0,1598.0,1365.0,BMW i3 2017-Present 27 kWh with range extender (170 HP),1
753,BMW i3s 2017-Present,27 kWh with range extender (184 HP),BMW,4006.0,1791.0,1590.0,1385.0,BMW i3s 2017-Present 27 kWh with range extender (184 HP),1
